Time,Cell Name,EPM_RRC_SR,EPM_ERAB_SR,Cluster
2022-08-27,LCAIN10118-3,100.0,100.0,38
2022-08-27,LCAIN10118-5,100.0,100.0,38
2022-08-27,LCAIN10118-6,100.0,100.0,38
2022-08-27,LCAIN10118-7,100.0,100.0,38
2022-08-27,LCAIN10106-1,100.0,98.6867,23
2022-08-27,LCAIN10106-2,100.0,100.0,23
2022-08-27,LCAIN10106-3,100.0,100.0,23
2022-08-27,LCAIN10106-5,100.0,100.0,23
2022-08-27,LCAIN10106-6,100.0,100.0,23
2022-08-27,LCAIN10106-7,100.0,100.0,23
2022-08-27,LCAIE30522-7,100.0,100.0,0
2022-08-27,LCAIE30522-6,100.0,100.0,0
2022-08-27,LCAIE30522-5,100.0,100.0,0
2022-08-27,LCAIE30522-3,100.0,100.0,0
2022-08-27,LCAIE30522-2,100.0,99.8609,0
2022-08-27,LCAIE30522-1,100.0,100.0,0
2022-08-27,LCAIE30201-1,99.8636,100.0,0
2022-08-27,LCAIE30201-2,100.0,99.9615,0
2022-08-27,LCAIE30201-3,99.9218,99.9328,0
2022-08-27,LCAIE30201-5,100.0,99.654,0
2022-08-27,LCAIE30201-6,99.8165,99.6466,0
2022-08-27,LCAIE30201-7,100.0,100.0,0
2022-08-27,LCAIE10095-1,100.0,99.9555,11
2022-08-27,LCAIE10095-2,100.0,99.9394,11
2022-08-27,LCAIE10095-3,100.0,99.8741,11
2022-08-27,LCAIE10095-5,100.0,100.0,11
2022-08-27,LCAIE10095-6,100.0,100.0,11
2022-08-27,LCAIE10095-7,100.0,99.9074,11
2022-08-27,LCAIE30090-1,100.0,99.8875,0
2022-08-27,LCAIE30090-2,100.0,99.9374,0
2022-08-27,LCAIE30090-3,100.0,100.0,0
2022-08-27,LCAIE30090-5,100.0,99.7326,0
2022-08-27,LCAIE30090-6,100.0,100.0,0
2022-08-27,LCAIE30090-7,100.0,100.0,0
2022-08-27,LCAIE20065-1,100.0,99.9403,36
2022-08-27,LCAIE20065-2,100.0,99.9237,36
2022-08-27,LCAIE20065-3,100.0,99.9565,36
2022-08-27,LCAIE20065-5,100.0,99.9144,36
2022-08-27,LCAIE20065-6,99.949,99.9504,36
2022-08-27,LCAIE20065-7,100.0,99.8283,36
2022-08-27,LCAIE20055-1,99.9457,99.9481,29
2022-08-27,LCAIE20055-2,100.0,99.7162,29
2022-08-27,LCAIE20055-3,100.0,100.0,29
2022-08-27,LCAIE20055-5,100.0,99.8728,29
